Изображение;Название;Цена;Описание;Артикул;"Ссылка на товар"
https://versal.ua/images/uploads//0b04dfeac40006e892fc9473382d77fc.jpg;"Женский спортивный костюм темно-серый";468;"Женский спортивный костюм темно-серый
Ткань: шерсть петля
Размеры: 42, 44, 46,   48-50, 52-54, 56-58+70грн
 ";"Код: 02340";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/zhenskiy-sportivnyy-kostyum-temno-seryy-1573042859.html
https://versal.ua/images/uploads//fdb451c7ac75338fa4bcdec2ce74af01.jpg;"Женский спортивный костюм светло-серый";468;"Женский спортивный костюм светло-серый
Ткань: шерсть петля
Размеры: 42, 44, 46,   48-50, 52-54, 56-58+70грн
 ";"Код: 02340";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/zhenskiy-sportivnyy-kostyum-svetlo-seryy-1573042590.html
https://versal.ua/images/uploads//66e0ce39713f1d41ff7b566c4a43decd.jpg;"Женский спортивный костюм джинс";468;"Женский спортивный костюм джинс
Ткань: шерсть петля
Размеры: 42, 44, 46,   48-50, 52-54, 56-58+70грн
 ";"Код: 02340";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/zhenskiy-sportivnyy-kostyum-dzhins-1573042332.html
https://versal.ua/images/uploads//2c2f1e73df34881016278b8fe7307d32.jpg;"Женский прогулочный костюм";573;"Женский прогулочный костюм 
Ткань: двухнитка, трикотаж зара
Размеры: 42, 44, 46,    48-50, 52-54, 56-58+100грн
 ";"Код: 02347/1";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/zhenskiy-progulochnyy-kostyum-1571139085.html
https://versal.ua/images/uploads//de54273f0046334fc8c2552d91d7c44c.jpg;"Женский прогулочный костюм";573;"Женский прогулочный костюм 
Ткань: двухнитка, трикотаж зара
Размеры: 42, 44, 46,    48-50, 52-54, 56-58+100грн
 ";"Код: 02347/3";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/zhenskiy-progulochnyy-kostyum.html
https://versal.ua/images/uploads//f4b3486d40324e7b691e2fadc30925b1.jpg;"Спортивный костюм женский белый+синий";578;"Спортивный костюм женский белый+синий
Ткань: двухнитка
Размеры: 42, 44, 46,   48-50, 52-54, 56-58+100 грн";"Код: 02312";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-zhenskiy-belyychernyy.html
https://versal.ua/images/uploads//4333e28e574d0b7691a93beaef5fc3c6.jpg;"Спортивный костюм женский джинс+синий";578;"Спортивный костюм женский джинс+синий
Ткань: двухнитка
Размеры: 42, 44, 46,   48-50, 52-54, 56-58+100 грн";"Код: 02312";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-zhenskiy-dzhinssiniy.html
https://versal.ua/images/uploads//54e9ab41df3b7efa7f47d8b1cd913079.jpg;"Спортивный костюм женский красный+черный";578;"Спортивный костюм женский красный+черный
Ткань: двухнитка
Размеры: 42, 44, 46,   48-50, 52-54, 56-58+100 грн";"Код: 02312";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-zhenskiy-krasnyychernyy.html
https://versal.ua/images/uploads//9629a94f2b530122a8ff50f9474d13e3.jpg;"Спортивный костюм на молнии черный";578;"Спортивный костюм на молнии черный
Ткань: двухнитка
Размеры: 42, 44, 46,   48-50, 52-54, 56-58+100грн";"Код: 02310";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-na-molnii-chernyy-1565804332.html
https://versal.ua/images/uploads//7229ea6553ddcc05ec73ce02d367f2b9.jpg;"Спортивный костюм на молнии хаки";578;"Спортивный костюм на молнии хаки
Ткань: двухнитка
Размеры: 42, 44, 46,   48-50, 52-54, 56-58+100грн";"Код: 02310";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-na-molnii-khaki-1565804221.html
https://versal.ua/images/uploads//54dc2490b8b99ee1b6f5e14e8d61817a.jpg;"Спортивный костюм на молнии светло-серый";578;"Спортивный костюм на молнии светло-серый
Ткань: двухнитка
Размеры: 42, 44, 46,   48-50, 52-54, 56-58+100грн";"Код: 02310";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-na-molnii-svetlo-seryy-1565804118.html
https://versal.ua/images/uploads//6d4fdf4489c11ca60f39b17d92be9c11.jpg;"Женский спортивный костюм персик";573;"Женский спортивный костюм персик
Ткань: двухнитка
Размеры: 42, 44, 46,   48-50, 52-54, 56-58+100грн";"Код: 02311";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/zhenskiy-sportivnyy-kostyum-persik-1565803637.html
https://versal.ua/images/uploads//288c67af6a1b426459f70ddd17f2978a.jpg;"Женский спортивный костюм красный";573;"Женский спортивный костюм красный
Ткань: двухнитка
Размеры: 42, 44, 46,   48-50, 52-54, 56-58+100грн";"Код: 02311";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/zhenskiy-sportivnyy-kostyum-krasnyy-1565803380.html
https://versal.ua/images/uploads//40b3f4bc6f3efbc651ce01e8698f9f03.jpg;"Женский спортивный костюм хаки";573;"Женский спортивный костюм хаки
Ткань: двухнитка
Размеры: 42, 44, 46,   48-50, 52-54, 56-58+100грн";"Код: 02311";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/zhenskiy-sportivnyy-kostyum-khaki.html
https://versal.ua/images/uploads//67249218a4bc1828064ec1486ec167c2.jpg;"Костюм женский спортивный черный";579;"Костюм женский спортивный черный
Ткань: двухнитка
Размеры: 42, 44, 46,    48-50, 52-54, 56-58+100грн";"Код: 02290";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-zhenskiy-sportivnyy-chernyy-1561377982.html
https://versal.ua/images/uploads//938ddcc48f72809c37778f4658c87f93.jpg;"Спортивный костюм мужской утепленный св-серый";776;"Спортивный костюм мужской утепленный св-серый
Ткань: трехнитка
Размеры: 44, 46, 48-50,    52-54, 56-58+100";"Код: 02099";https://versal.ua/muzhskaya-odezhda/sportivnye-kostyumy-1515158264/uteplennyy/sportivnyy-kostyum-muzhskoy-uteplennyy-sv-seryy-1543418032.html
https://versal.ua/images/uploads//6ac6cd109fe929da14548de405915f7e.jpg;"Спортивный костюм мужской утепленный черный";776;"Спортивный костюм мужской утепленный черный
Ткань: трехнитка
Размеры: 44, 46, 48-50,    52-54, 56-58+100";"Код: 02099";https://versal.ua/muzhskaya-odezhda/sportivnye-kostyumy-1515158264/uteplennyy/sportivnyy-kostyum-muzhskoy-uteplennyy-chernyy-1543418175.html
https://versal.ua/images/uploads//1ac3879b8735571df5b97dad4486dcff.jpg;"Костюм женский спортивный хаки";579;"Костюм женский спортивный хаки
Ткань: двухнитка
Размеры: 42, 44, 46,    48-50, 52-54, 56-58+100грн";"Код: 02290";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-zhenskiy-sportivnyy-khaki-1561377821.html
https://versal.ua/images/uploads//8ea888c182eabc923bbd16bce66cbc53.jpg;"Спортивный костюм футболка+штаны малина";475;"Спортивный костюм футболка+штаны малина
Ткань: вискоза
Размеры: 42, 44, 46,    48-50, 52-54, 56-58+50грн";"Код: 02289";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-futbolkashtany-malina-1561377145.html
https://versal.ua/images/uploads//06a9339ff77ff41f47dc23ff985560d4.jpg;"Спортивный костюм футболка+штаны салат";475;"Спортивный костюм футболка+штаны салат
Ткань: вискоза
Размеры: 42, 44, 46,    48-50, 52-54, 56-58+50грн";"Код: 02289";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-futbolkashtany-salat-1561377003.html
https://versal.ua/images/uploads//3df0c417d5445c31617c77d72bf7c28f.jpg;"Костюм женский спортивный с футболкой хаки";538;"Костюм женский спортивный с футболкой хаки
Ткань: двухнитка
Размеры: 42, 44, 46,   48-50, 52-54, 56-58+70грн";"Код: 02234";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-zhenskiy-sportivnyy-s-futbolkoy-khaki-1557480666.html
https://versal.ua/images/uploads//d8bb3a255f007a7e9b85c129f41b0291.jpg;"Костюм женский спортивный с футболкой светло-серый";538;"Костюм женский спортивный с футболкой светло-серый
Ткань: двухнитка
Размеры: 42, 44, 46,   48-50, 52-54, 56-58+70грн";"Код: 02234";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-zhenskiy-sportivnyy-s-futbolkoy-svetlo-seryy-1557480494.html
https://versal.ua/images/uploads//4926cafa929f9f9702d6c9798142fd1e.jpg;"Костюм женский спортивный с футболкой черный";538;"Костюм женский спортивный с футболкой черный
Ткань: двухнитка
Размеры: 42, 44, 46,   48-50, 52-54, 56-58+70грн";"Код: 02234";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-zhenskiy-sportivnyy-s-futbolkoy-chernyy-1557480347.html
https://versal.ua/images/uploads//eaf4d14a5618dfcbf33aa64f9aca58bb.jpg;"Костюм женский спортивный светло-серый";656;"Костюм женский спортивный светло-серый
Ткань: двухнитка
Размеры: 42, 44, 46,    48-50, 52-54, 56-58+80грн";"Код: 02190";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-zhenskiy-sportivnyy-svetlo-seryy-1557122943.html
https://versal.ua/images/uploads//945340bfd17697620aa4507ff966a699.jpg;"Костюм женский спортивный черный";656;"Костюм женский спортивный черный
Ткань: двухнитка
Размеры: 42, 44, 46,    48-50, 52-54, 56-58+80грн";"Код: 02190";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-zhenskiy-sportivnyy-chernyy-1557122816.html
https://versal.ua/images/uploads//7dc0a6a7e68b18ff324301005deefb45.jpg;"Костюм женский спортивный хаки";656;"Костюм женский спортивный хаки
Ткань: двухнитка
Размеры: 42, 44, 46,    48-50, 52-54, 56-58+80грн";"Код: 02190";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-zhenskiy-sportivnyy-khaki.html
https://versal.ua/images/uploads//b5e68e198d0b990327e7d13f736f1ef4.jpg;"Спортивный костюм женский черный";535;"Спортивный костюм женский черный
Ткань: двухнитка
Размеры: 42, 44, 46,    48-50, 52-54+80грн
 ";"Код: 02166";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-zhenskiy-chernyy-1552913070.html
https://versal.ua/images/uploads//7165d4c58b767fec75b60b2e1203421c.jpg;"Спортивный костюм женский красный";535;"Спортивный костюм женский красный
Ткань: двухнитка
Размеры: 42, 44, 46,    48-50, 52-54+80грн
 ";"Код: 02166";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/sportivnyy-kostyum-zhenskiy-krasnyy-1552912952.html
https://versal.ua/images/uploads//51e3fe96a6f97aad3d3482e374a1a003.jpg;"Костюм спортивный женский св-серый";540;"Костюм спортивный женский св-серый
Ткань: двухнитка
Размеры: 42, 44, 46,     48-50, 52-54, 56-58+60грн";"Код: 02129";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-sportivnyy-zhenskiy-sv-seryy.html
https://versal.ua/images/uploads//9211c0a685b606555c42a82d155c0bdc.jpg;"Костюм спортивный женский джинс";540;"Костюм спортивный женский джинс
Ткань: двухнитка
Размеры: 42, 44, 46,     48-50, 52-54, 56-58+60грн";"Код: 02129";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/kostyum-sportivnyy-zhenskiy-dzhins.html
https://versal.ua/images/uploads//4f142b8ba597ce0dddf2778fece9b981.jpg;"Женский трикотажный прогулочный костюм темно-синий";650;"Женский трикотажный прогулочный костюм темно-синий
Ткань: стежка
Размеры: 42, 44, 46,      48-50, 52-54, 56-58+40грн";"Код: 02135";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/zhenskiy-trikotazhnyy-progulochnyy-kostyum-temno-siniy-1549370728.html
https://versal.ua/images/uploads//d58fd7de6b5ddd54d27406907322969e.jpg;"Женский трикотажный прогулочный костюм беж";650;"Женский трикотажный прогулочный костюм беж
Ткань: стежка
Размеры: 42";"Код: 02135";https://versal.ua/zhenskaya-odezhda/sportivnye-kostyumy/trikotazhnye/zhenskiy-trikotazhnyy-progulochnyy-kostyum-bezh-1549370204.html
